iter	MAE	RMSE
0	0.6480156721	0.7975936963
5	0.5971147217	0.7377787486
10	0.5611995023	0.6962580776
15	0.5358845198	0.6671551746
20	0.5167075588	0.6458479623
25	0.5021630156	0.6297149186
30	0.4909347387	0.6174218018
35	0.4819578146	0.6077274008
40	0.4746288733	0.5998934623
45	0.4682718067	0.593138513
50	0.463247652	0.5878072401
55	0.4586800073	0.5830161031
60	0.4546788931	0.5788753691
65	0.4517383778	0.5756878368
70	0.4490306809	0.5728483717
75	0.4464314833	0.5701490406
80	0.4444254501	0.5680559754
85	0.4425393662	0.5661363926
90	0.4409490762	0.5644073759
95	0.4394555035	0.5628383243
100	0.4382162113	0.5615454709
105	0.4370051018	0.5602516335
110	0.4360395883	0.5591755879
115	0.4349294553	0.5579770081
120	0.4341344209	0.5571436363
125	0.4332915119	0.5562462963
130	0.4325761304	0.5554670174
135	0.431888489	0.5546474517
140	0.4313673164	0.5540502022
145	0.4307692291	0.5533829925
150	0.430290538	0.5528801559
155	0.4296862554	0.5521906468
160	0.4292067899	0.5516432321
165	0.4287688102	0.5511307289
170	0.4283900446	0.5507124983
175	0.4279917254	0.5502093575
180	0.4275046265	0.5496805992
185	0.4272018353	0.5493064548
190	0.4268122281	0.5488908904
195	0.4263829051	0.5484138665
199	0.4261398811	0.5481295117
