iter	Passed	Remaining
0	334	66662
1	583	57811
2	908	59687
3	1290	63249
4	1597	62315
5	1857	60062
6	2168	59786
7	2412	57892
8	2725	57843
9	3042	57812
10	3408	58571
11	3716	58230
12	3963	57014
13	4358	57907
14	4703	58014
15	5034	57895
16	5349	57586
17	5684	57472
18	5932	56515
19	6310	56793
20	6682	56958
21	6937	56134
22	7313	56278
23	7699	56461
24	8077	56543
25	8426	56395
26	8670	55558
27	9040	55536
28	9432	55616
29	9813	55607
30	10194	55578
31	10555	55417
32	10974	55540
33	11328	55309
34	11665	54995
35	11992	54631
36	12369	54492
37	12686	54086
38	13062	53924
39	13423	53695
40	13690	53091
41	14102	53051
42	14428	52680
43	14809	52506
44	15179	52285
45	15562	52100
46	15933	51869
47	16311	51654
48	16655	51325
49	16999	50999
50	17301	50547
51	17658	50258
52	18047	50057
53	18413	49785
54	18795	49551
55	19098	49111
56	19471	48848
57	19839	48571
58	20182	48233
59	20519	47878
60	20847	47504
61	21218	47229
62	21640	47059
63	21973	46693
64	22342	46404
65	22720	46129
66	23095	45846
67	23458	45536
68	23815	45214
69	24080	44720
70	24458	44437
71	24828	44140
72	25139	43735
73	25476	43379
74	25726	42877
75	26044	42492
76	26428	42216
77	26847	41992
78	27226	41701
79	27595	41392
80	27884	40966
81	28245	40645
82	28624	40349
83	28992	40037
84	29388	39760
85	29798	39500
86	30171	39187
87	30526	38851
88	30888	38523
89	31251	38196
90	31651	37912
91	31985	37547
92	32349	37219
93	32738	36918
94	33083	36565
95	33480	36270
96	33836	35929
97	34207	35603
98	34505	35202
99	34862	34862
100	35126	34431
101	35466	34075
102	35851	33762
103	36183	33399
104	36582	33098
105	36935	32753
106	37301	32420
107	37565	31999
108	37937	31672
109	38299	31335
110	38611	30959
111	38971	30620
112	39321	30273
113	39699	29948
114	40074	29619
115	40484	29316
116	40843	28974
117	41224	28647
118	41515	28258
119	41941	27960
120	42345	27646
121	42706	27304
122	43063	26958
123	43448	26629
124	43774	26264
125	44115	25908
126	44499	25578
127	44868	25238
128	45128	24838
129	45426	24460
130	45738	24091
131	46024	23709
132	46400	23374
133	46633	22968
134	47026	22642
135	47383	22298
136	47760	21962
137	48112	21615
138	48499	21284
139	48744	20890
140	49114	20551
141	49509	20222
142	49867	19877
143	50227	19532
144	50597	19192
145	50934	18838
146	51301	18496
147	51657	18150
148	51956	17783
149	52260	17420
150	52623	17076
151	53028	16745
152	53405	16405
153	53667	16030
154	53993	15675
155	54357	15331
156	54672	14974
157	55052	14634
158	55339	14269
159	55663	13915
160	55911	13543
161	56260	13196
162	56565	12839
163	56878	12485
164	57287	12151
165	57676	11813
166	58048	11470
167	58372	11118
168	58614	10751
169	58961	10405
170	59309	10058
171	59699	9718
172	59965	9358
173	60349	9017
174	60720	8674
175	61108	8333
176	61487	7989
177	61856	7645
178	62216	7299
179	62607	6956
180	62956	6608
181	63302	6260
182	63673	5915
183	63994	5564
184	64349	5217
185	64579	4860
186	64950	4515
187	65191	4161
188	65569	3816
189	65933	3470
190	66336	3125
191	66704	2779
192	66947	2428
193	67265	2080
194	67673	1735
195	67998	1387
196	68321	1040
197	68688	693
198	68991	346
199	69308	0
